,name,juso,x,y,category,num
0,1987 루프탑라운지 홍대,서울특별시 마포구 잔다리로 20 5층,126.9208147,37.5509941,pub,1
1,BURP,서울특별시 마포구 어울마당로 55-2 정웅빌딩 2층,126.9208719,37.5503027,pub,2
2,The Famous Burger,서울특별시 마포구 잔다리로3안길 24 1층,126.9195821,37.5504836,pub,1
3,감칠,서울특별시 마포구 동교로46길 23 2층,126.9260613,37.5623592,pub,1
4,고기꾼김춘배,서울특별시 마포구 홍익로3길 36 3층,126.9215517,37.5528341,pub,1
5,별헤는잔,서울특별시 마포구 어울마당로 94-7 대유빌딩,126.9223871,37.5532434,pub,3
6,소이연남,서울특별시 마포구 동교로 267 1층,126.9253759,37.5635606,pub,1
7,코다차야 홍대,서울특별시 마포구 와우산로 48 로하스타워,126.9232625,37.548575,pub,5
8,토끼정 홍대점,서울특별시 마포구 잔다리로2길 13 1층,126.920649,37.5516907,pub,1
9,황포25,서울특별시 마포구 홍익로3길 20 서교오피스텔,126.9216773,37.5534442,pub,1
