,_id,x,timestamp,tags,id,juso,category,display_url,language,y,name
0,"ObjectId(""5cd723ecbca3b2dc892307fc"")",126.9253759,1557579865,[],2041450334963828388,서울특별시 마포구 동교로 267 1층,pub,https://scontent-icn1-1.cdninstagram.com/vp/3b425c5160fe95d068eb823e1fb40daa/5D532E11/t51.2885-15/e35/58831718_333613717355557_5032027900603881740_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5635606,소이연남
1,"ObjectId(""5cd723f5bca3b2dc892307fd"")",126.92606129999999,1557537576,"[""연남동와인"",""맛집추천"",""홍대맛집"",""물레방아"",""연남동와인바"",""차곡이_맛집추천"",""존맛"",""먹방"",""연남동물레방아"",""먹스타그램"",""홍대와인바"",""홍대술집"",""연남동맛집"",""맛집"",""와인바"",""존맛탱"",""먹스타"",""홍대와인"",""홍대물레방아"",""연남동술집"",""홍대""]",2041095587173353072,서울특별시 마포구 동교로46길 23 2층,pub,https://scontent-icn1-1.cdninstagram.com/vp/9dd3632b41c0b6d938135e54e8040bd8/5D77758C/t51.2885-15/e35/58660044_407039010141560_7723390200800224596_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5623592,감칠
2,"ObjectId(""5cd723f7bca3b2dc892307fe"")",126.9232625,1557499538,"[""좋아요반사"",""안주스타그램"",""스트레스"",""오돌뼈"",""상수역"",""소통"",""금요일"",""iphone"",""일상"",""데일리"",""good"",""크림새우"",""소확행"",""풀자"",""좋아요"",""술스타그램"",""홍대술집"",""첫줄"",""불금"",""맛난안주"",""foodstagram"",""맞팔"",""모듬꼬치"",""instagood"",""김치볶음밥"",""instagram""]",2040776504029183290,서울특별시 마포구 와우산로 48 로하스타워,pub,https://scontent-icn1-1.cdninstagram.com/vp/19c0a5bf672b1d1072a2f511474dfa2c/5D5CB29F/t51.2885-15/e35/s1080x1080/58411044_348115772729638_8674494217310975618_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.548575,코다차야 홍대
3,"ObjectId(""5cd723f7bca3b2dc892307ff"")",126.92081470000001,1557495504,"[""이러지마_문도영"",""얼마만에_이렇게_놀았더라"",""다시_생각해도_기절"",""정말_기절"",""집에_도착하자마자_기절""]",2040742661825820015,서울특별시 마포구 잔다리로 20 5층,pub,https://scontent-icn1-1.cdninstagram.com/vp/8d24174c8cd5da53ee892a6a11191610/5D524E55/t51.2885-15/e35/60249831_113883436491015_8100383361603559970_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5509941,1987 루프탑라운지 홍대
4,"ObjectId(""5cd723f7bca3b2dc89230800"")",126.9232625,1557495420,"[""상수역"",""홍대술"",""홍대펍"",""감사합니다"",""술"",""홍익대"",""코다차야"",""홍대술집추천"",""덕분에"",""홍대술집"",""술집"",""홍대생의홍대맛집"",""즐거웠습니다"",""홍대""]",2040741952752166365,서울특별시 마포구 와우산로 48 로하스타워,pub,https://scontent-icn1-1.cdninstagram.com/vp/351ee2867b8eef0262de46aca8930a27/5D6FD79A/t51.2885-15/e35/58411074_2035754383392670_2922364364560769492_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.548575,코다차야 홍대
5,"ObjectId(""5cd723febca3b2dc89230801"")",126.92238710000001,1557438293,"[""친구랑"",""selcagram"",""98"",""얼스타그램"",""daily"",""라이프"",""f4follows"",""소통"",""셀피"",""소통스타그램"",""自撮り"",""selfie"",""해시태그"",""22"",""셀스타그램"",""일상"",""애주가"",""일상스타그램"",""술사랑"",""데일리"",""疏通"",""홍대술집"",""セルスタグラム"",""ootd"",""日常"",""술"",""셀카"",""인스타그램"",""f4f"",""instagram""]",2040262740543925482,서울특별시 마포구 어울마당로 94-7 대유빌딩,pub,https://scontent-icn1-1.cdninstagram.com/vp/4cb64b0324dd6e27b18fb7177bc789f4/5D6ADFEC/t51.2885-15/e35/58453787_678833315885194_3777631433684940700_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5532434,별헤는잔
6,"ObjectId(""5cd723febca3b2dc89230802"")",126.92238710000001,1557437869,"[""친구랑"",""selcagram"",""98"",""얼스타그램"",""daily"",""라이프"",""f4follows"",""소통"",""셀피"",""소통스타그램"",""自撮り"",""selfie"",""해시태그"",""22"",""셀스타그램"",""일상"",""애주가"",""일상스타그램"",""술사랑"",""데일리"",""疏通"",""홍대술집"",""セルスタグラム"",""ootd"",""日常"",""술"",""셀카"",""인스타그램"",""f4f"",""instagram""]",2040259179907111470,서울특별시 마포구 어울마당로 94-7 대유빌딩,pub,https://scontent-icn1-1.cdninstagram.com/vp/a8e110a81a99eb32e3170346030215bc/5D70BE5B/t51.2885-15/e35/59413823_2329439850660294_645155497508503526_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5532434,별헤는잔
7,"ObjectId(""5cd72400bca3b2dc89230803"")",126.9195821,1557398944,"[""여심저격"",""봉주르하와이"",""하와이여행"",""개인촬영"",""이국적인"",""모임"",""스타일"",""하와이안식당"",""홍대데이트"",""봉쥬르하와이"",""인생사진"",""홍대야외"",""BBQ"",""홍대술집"",""홍대칵테일"",""홍대모임"",""알로하"",""맛집"",""핫플레이스"",""패션"",""모임장소"",""하와이"",""데이트""]",2039932656628893224,서울특별시 마포구 잔다리로3안길 24 1층,pub,https://scontent-icn1-1.cdninstagram.com/vp/541236a41cef751efc75014a2af681f1/5D625821/t51.2885-15/e35/58410378_2287949028126158_6556213418351012275_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5504836,The Famous Burger
9,"ObjectId(""5cd7240ebca3b2dc89230805"")",126.92238710000001,1557327892,"[""24"",""생일"",""birthdaycake"",""융경찌의먹스타그램"",""생일케익"",""소세지"",""홍대"",""투썸플레이스"",""birthday"",""케익"",""칵테일"",""party"",""생일파티"",""hbd"",""24살"",""생축"",""홍대술집"",""술집"",""홍대칵테일"",""투썸요거트케익"",""홍대별헤는잔"",""감자튀김"",""파티"",""생일케이크"",""별헤는잔""]",2039336633606938003,서울특별시 마포구 어울마당로 94-7 대유빌딩,pub,https://scontent-icn1-1.cdninstagram.com/vp/25c2273fae4eac7f34b73c95da17cd31/5D5597CF/t51.2885-15/e35/s1080x1080/59932548_385378878984857_3709502702264019510_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.5532434,별헤는잔
10,"ObjectId(""5cd72418bca3b2dc89230806"")",126.9232625,1557240557,"[""콘치즈"",""삼겹살숙주볶음"",""김치볶음밥"",""토마토홍합짬뽕"",""코다차야""]",2038604007983094521,서울특별시 마포구 와우산로 48 로하스타워,pub,https://scontent-icn1-1.cdninstagram.com/vp/3c5e5e7bbe84f8503e0ae632ec4cbe46/5D6F72E5/t51.2885-15/e35/s1080x1080/59785249_133918507756215_6944437937985111834_n.jpg?_nc_ht=scontent-icn1-1.cdninstagram.com,ko,37.548575,코다차야 홍대
